Names,RAJ2000,DEJ2000,Type,amaj,amin,PA,Com,SimbadName
@string,ra,dec,string,float,float,int,string,string
BSDL1228,79.79166667,-69.58277778,C,0.400000006,0.400000006,0,mP,BSDL1228
KMHK754,79.8,-65.85583333,CA,0.550000012,0.449999988,160,in BSDL1205,KMHK754
"HS224,KMHK757",79.80833333,-67.09916667,CA,0.800000012,0.699999988,70,,[HS66] 224
BSDL1234,79.80833333,-69.58833333,C,0.449999988,0.400000006,50,mP,BSDL1234
BSDL1218,79.8125,-68.08916667,C,0.349999994,0.349999994,0,,BSDL1218
"NGC1921w,BRHT49b",79.82083333,-69.78888889,CN,0.649999976,0.600000024,0,"mP,inc LMC-N121,in DEML133 DC LMC-N121",NGC 1921w
BSDL1199,79.82083333,-64.81055556,CA,0.400000006,0.300000012,150,in BSDL1201,BSDL1199
GKK-O16,79.825,-72,CA,2.920000076,2.920000076,0,,[GKK2003] O16
"KMK88-45,LOGLE347",79.82916667,-69.71416667,C,0.550000012,0.449999988,140,in LMC-N120,KMK88 45
"HS226,KMHK766",79.84583333,-67.71333333,CA,0.699999988,0.550000012,70,,[HS66] 226
LOGLE349,79.85,-69.65027778,C,1.360000014,1.360000014,0,in NGC1918,OGLE-CL LMC 349
"NGC1921e,SL381,ESO56SC102,",79.85,-69.78805556,CN,1,0.899999976,20,"mP,in DEML133 & BRHT49a,LOGLE348",NGC 1921e
HS228,79.85,-68.88111111,C,0.649999976,0.550000012,30,,[HS66] 228
